,adi,gida_olumlu,komur_olumlu,ekmek_olumlu,giysi_olumlu,baskent_kart_olumlu,sut_olumlu,toplam_sosyal_yardim,ilce,toplam_nufus,katsayi,gida_olumlu_10k,komur_olumlu_10k,ekmek_olumlu_10k,giysi_olumlu_10k,baskent_kart_olumlu_10k,sut_olumlu_10k,toplam_sosyal_yardim_10k,Küme
0,ÇUBUK,6280,2310,438,32,6260,6274,21594,ÇUBUK,91360,9.136,687.0,253.0,48.0,4.0,685.0,687.0,2364.0,Küme 5
1,BALA,2144,1560,2,4,2149,2149,8008,BALA,22966,2.2966,934.0,679.0,1.0,2.0,936.0,936.0,3487.0,Küme 1
2,ALTINDAĞ,38518,8796,5097,466,38277,38276,129430,ALTINDAĞ,407675,40.7675,945.0,216.0,125.0,11.0,939.0,939.0,3175.0,Küme 3
3,NALLIHAN,1110,868,0,6,1110,1123,4217,NALLIHAN,26952,2.6952,412.0,322.0,0.0,2.0,412.0,417.0,1565.0,Küme 2
4,YENİMAHALLE,18316,2676,2148,129,18099,18235,59603,YENİMAHALLE,703809,70.3809,260.0,38.0,31.0,2.0,257.0,259.0,847.0,Küme 2
5,AKYURT,2356,715,247,8,2353,2353,8032,AKYURT,38588,3.8588,611.0,185.0,64.0,2.0,610.0,610.0,2081.0,Küme 5
6,ÇAMLIDERE,630,488,1,1,630,637,2387,ÇAMLIDERE,8350,0.835,754.0,584.0,1.0,1.0,754.0,763.0,2859.0,Küme 1
7,ÇANKAYA,10520,1399,395,65,10360,10549,33288,ÇANKAYA,949255,94.9255,111.0,15.0,4.0,1.0,109.0,111.0,351.0,Küme 2
8,ELMADAĞ,2877,1291,2,5,2826,2869,9870,ELMADAĞ,44236,4.4236,650.0,292.0,0.0,1.0,639.0,649.0,2231.0,Küme 1
9,EVREN,305,202,0,0,305,305,1117,EVREN,2965,0.2965,1029.0,681.0,0.0,0.0,1029.0,1029.0,3767.0,Küme 1
10,KAHRAMANKAZAN,4394,592,4,10,4390,4383,13773,KAHRAMANKAZAN,57911,5.7911,759.0,102.0,1.0,2.0,758.0,757.0,2378.0,Küme 1
11,KEÇİÖREN,42384,1574,4466,442,42191,42352,133409,KEÇİÖREN,942884,94.2884,450.0,17.0,47.0,5.0,447.0,449.0,1415.0,Küme 5
12,KIZILCAHAMAM,1390,692,2,7,1392,1404,4887,KIZILCAHAMAM,26968,2.6968,515.0,257.0,1.0,3.0,516.0,521.0,1812.0,Küme 2
13,PURSAKLAR,6416,477,510,36,6361,6407,20207,PURSAKLAR,159676,15.9676,402.0,30.0,32.0,2.0,398.0,401.0,1266.0,Küme 2
14,HAYMANA,3920,3087,8,17,3921,3923,14876,HAYMANA,27298,2.7298,1436.0,1131.0,3.0,6.0,1436.0,1437.0,5449.0,Küme 4
15,BEYPAZARI,2940,1248,0,2,2936,2945,10071,BEYPAZARI,48393,4.8393,608.0,258.0,0.0,0.0,607.0,609.0,2081.0,Küme 1
16,GÖLBAŞI,4825,1294,109,26,4759,4828,15841,GÖLBAŞI,142961,14.2961,338.0,91.0,8.0,2.0,333.0,338.0,1108.0,Küme 2
17,AYAŞ,520,358,0,0,521,526,1925,AYAŞ,13093,1.3093,397.0,273.0,0.0,0.0,398.0,402.0,1470.0,Küme 2
18,POLATLI,8077,2697,6,31,8042,8056,26909,POLATLI,127521,12.7521,633.0,211.0,0.0,2.0,631.0,632.0,2110.0,Küme 1
19,SİNCAN,33258,1467,1885,159,33059,33311,103139,SİNCAN,561407,56.1407,592.0,26.0,34.0,3.0,589.0,593.0,1837.0,Küme 5
20,ŞEREFLİKOÇHİSAR,2543,1501,0,3,2539,2546,9132,ŞEREFLİKOÇHİSAR,33475,3.3475,760.0,448.0,0.0,1.0,758.0,761.0,2728.0,Küme 1
21,GÜDÜL,521,406,0,1,524,528,1980,GÜDÜL,8155,0.8155,639.0,498.0,0.0,1.0,643.0,647.0,2428.0,Küme 1
22,KALECİK,938,643,2,0,939,938,3460,KALECİK,12502,1.2502,750.0,514.0,2.0,0.0,751.0,750.0,2768.0,Küme 1
23,ETİMESGUT,13452,365,588,116,13385,13475,41381,ETİMESGUT,606472,60.6472,222.0,6.0,10.0,2.0,221.0,222.0,682.0,Küme 2
24,MAMAK,43273,2201,3722,385,43126,43145,135852,MAMAK,682420,68.242,634.0,32.0,55.0,6.0,632.0,632.0,1991.0,Küme 5
